id,country,c3,c2,year,gini_reported,q1,q2,q3,q4,q5,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,bottom5,top5,resource,resource_detailed,scale,scale_detailed,sharing_unit,reference_unit,areacovr,areacovr_detailed,popcovr,popcovr_detailed,region_un,region_un_sub,region_wb,eu,oecd,incomegroup,mean,median,currency,reference_period,exchangerate,mean_usd,median_usd,gdp_ppp_pc_usd2011,population,revision,quality,quality_score,source,source_detailed,source_comments,survey
50,Argentina,ARG,AR,1974,36,6,11.5,16.4,22.9,43.2,2.2,3.8,5.2,6.3,7.6,8.8,10.4,12.5,16.1,27.1,,,Income (net),"Monetary income, net",No adjustment,No adjustment,Household,Household,Urban,Metropolitan area,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,High income,,43620,Argentine peso,Month,0.00000000004999999999,,,,25644506,,Low,11,United Nations,Altimir 1986,UNECLAC. Compilation,Encuesta Permanente de Hogares
51,Argentina,ARG,AR,1974,34.4,6.8,,,,,,,,,,,,,,26.8,,,Income (net),"Monetary income, net",No adjustment,No adjustment,Person,Person,Urban,Metropolitan area,Economically active,Economically active,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,High income,,,,,0.00000000004999999999,,,,25644506,,Low,8,Research study,Fishlow et al. 1993,,Encuesta Permanente de Hogares
52,Argentina,ARG,AR,1975,36.1,5.9,11.4,16.5,23.3,42.9,2.2,3.7,5.1,6.3,7.5,9,10.5,12.8,16.2,26.7,,,Income (net),"Monetary income, net",No adjustment,No adjustment,Household,Household,Urban,Metropolitan area,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,High income,,124212,Argentine peso,Month,0.000000000365749999995,,,,26066975,,Low,11,United Nations,Altimir 1986,UNECLAC. Compilation,Encuesta Permanente de Hogares
53,Argentina,ARG,AR,1975,34.7,6.3,,,,,,,,,,,,,,26.4,,,Income (net),"Monetary income, net",No adjustment,No adjustment,Person,Person,Urban,Metropolitan area,Economically active,Economically active,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,High income,,,,,0.000000000365749999995,,,,26066975,,Low,8,Research study,Fishlow et al. 1993,,Encuesta Permanente de Hogares
54,Argentina,ARG,AR,1976,35.2,7,,,,,,,,,,,,,,27.2,,,Income (net),"Monetary income, net",No adjustment,No adjustment,Person,Person,Urban,Metropolitan area,Economically active,Economically active,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,High income,,,,,0.00000000139983333333167,,,,26477152,,Low,8,Research study,Fishlow et al. 1993,,Encuesta Permanente de Hogares
55,Argentina,ARG,AR,1977,40.3,6.4,,,,,,,,,,,,,,31.8,,,Income (net),"Monetary income, net",No adjustment,No adjustment,Person,Person,Urban,Metropolitan area,Economically active,Economically active,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,High income,,,,,0.00000000407633333332833,,,,26878565,,Low,8,Research study,Fishlow et al. 1993,,Encuesta Permanente de Hogares
56,Argentina,ARG,AR,1978,43.4,5.6,,,,,,,,,,,,,,34,,,Income (net),"Monetary income, net",No adjustment,No adjustment,Person,Person,Urban,Metropolitan area,Economically active,Economically active,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,High income,,,,,0.00000000795749999999583,,,,27277741,,Low,8,Research study,Fishlow et al. 1993,,Encuesta Permanente de Hogares
57,Argentina,ARG,AR,1979,41.3,5.9,,,,,,,,,,,,,,32.6,,,Income (net),"Monetary income, net",No adjustment,No adjustment,Person,Person,Urban,Metropolitan area,Economically active,Economically active,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,High income,,,,,0.0000000131696666666408,,,,27684534,,Low,8,Research study,Fishlow et al. 1993,,Encuesta Permanente de Hogares
58,Argentina,ARG,AR,1980,39.3,5.9,10.5,15.4,22.5,45.7,2.2,3.7,4.7,5.8,7,8.4,10,12.5,16.5,29.2,,,Income (net/gross),"Income, net/gross",Per capita,Per capita,Household,Person,Urban,Urban,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,High income,677348,,Local currency unit,Year,0.0000000183715833333225,,,,28105888,New 2018,High,12,SEDLAC,SEDLAC 2018,,
59,Argentina,ARG,AR,1980,37.6,6.5,11.1,15.5,22.4,44.6,2.6,3.9,5,6.1,7.1,8.4,10,12.4,16.3,28.3,,,Income (net/gross),"Income, net/gross",Equivalized,Equivalized,Household,Person,Urban,Urban,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,High income,,,,,0.0000000183715833333225,,,,28105888,New 2018,High,12,SEDLAC,SEDLAC 2018,,
60,Argentina,ARG,AR,1980,41.6,5,9.5,14.9,22.8,47.8,2,3,4.2,5.3,6.7,8.2,10,12.8,16.9,30.9,,,Income (net),"Monetary income, net",No adjustment,No adjustment,Household,Household,Urban,Metropolitan area,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,High income,,24438000,Argentine peso,Month,0.0000000183715833333225,,,,28105888,,Low,11,United Nations,Altimir 1986,UNECLAC. Compilation,Encuesta Permanente de Hogares
61,Argentina,ARG,AR,1980,40.5,6.2,,,,,,,,,,,,,,31.8,,,Income (net),"Monetary income, net",No adjustment,No adjustment,Person,Person,Urban,Metropolitan area,Economically active,Economically active,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,High income,,,,,0.0000000183715833333225,,,,28105888,,Low,8,Research study,Fishlow et al. 1993,,Encuesta Permanente de Hogares
62,Argentina,ARG,AR,1980,40.8,5.3,10.3,15.2,22.6,46.6,1.9,3.4,4.6,5.7,6.9,8.3,10.1,12.5,16.6,30,,,Income (net),"Monetary income, net",Per capita,Per capita,Household,Person,Urban,Metropolitan area,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,High income,7032000,,Argentine peso,Month,0.0000000183715833333225,,,,28105888,,Average,12,Research study,Psacharopoulos et al. 1997,,Encuesta Permanente de Hogares
63,Argentina,ARG,AR,1981,42.7,5.2,9.4,14.3,21.4,49.7,2.1,3.1,4.2,5.2,6.4,7.9,9.5,11.9,16.2,33.5,,,Income (net),"Monetary income, net",No adjustment,No adjustment,Household,Household,Urban,Metropolitan area,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,High income,,45446400,Argentine peso,Month,0.0000000440269166666725,,,,28543364,,Low,11,United Nations,Altimir 1986,UNECLAC. Compilation,Encuesta Permanente de Hogares
